latitude,longitude,elevation
35.06742,-106.337775,2178.56
35.066883,-106.338242,2178.07
35.066633,-106.338224,2178.4
35.066405,-106.338099,2177.37
35.065589,-106.338233,2175.6
35.065207,-106.338108,2174.71
35.064883,-106.337856,2173.43
35.064758,-106.337928,2169.14
35.06367,-106.339554,2164.69
35.063346,-106.339662,2162.6
35.063045,-106.339949,2161.13
35.063096,-106.340048,2158.3
35.063677,-106.340336,2154.46
35.064052,-106.34091,2151.41
35.064295,-106.341539,2149.25
35.064192,-106.341997,2146.64
35.064685,-106.342285,2143.15
35.064758,-106.34242,2140.53
35.064765,-106.342725,2140.43
35.064604,-106.342878,2140.52
35.064479,-106.343291,2138.31
35.063655,-106.343731,2135.88
35.063626,-106.343848,2133.97
35.063221,-106.343695,2132.56
35.062832,-106.343273,2134.31
35.06278,-106.342572,2138.31
35.062449,-106.342105,2140.49
35.062251,-106.342087,2141.8
35.062214,-106.342213,2139.98
35.062332,-106.342608,2135.34
35.062266,-106.343021,2132.74
35.062361,-106.34383,2131.42
35.062574,-106.344288,2130.23
35.062538,-106.344836,2129.36
35.062199,-106.345186,2127.59
35.061766,-106.345402,2125.5
35.061243,-106.345519,2122.4
35.060758,-106.345716,2119.45
35.060501,-106.34577,2117.64
35.06042,-106.346067,2115.64
35.060986,-106.346058,2114.59
35.061567,-106.346354,2113.27
35.061501,-106.345968,2111.71
35.062229,-106.345761,2112.32
35.062604,-106.3456,2116.51
35.062883,-106.345097,2117.86
35.063045,-106.344683,2115.67
35.062854,-106.344144,2116.52
35.063104,-106.34418,2118.77
35.063383,-106.344099,2120.56
35.064015,-106.34471,2121.29
35.064067,-106.344836,2121.09
35.064015,-106.345061,2120.03
35.064096,-106.345133,2117.89
35.064368,-106.344989,2115.03
35.065008,-106.344162,2112.3
35.065038,-106.344037,2110.71
35.065552,-106.343614,2110.8
35.065508,-106.344117,2111.69
35.065361,-106.344818,2112.23
35.065096,-106.345204,2112.13
35.065133,-106.34533,2111.38
35.065001,-106.346219,2110.0
35.065038,-106.346561,2108.42
35.066265,-106.347423,2107.26
35.06667,-106.347531,2106.38
35.066699,-106.347675,2104.79
35.066537,-106.347872,2101.93
35.065104,-106.347414,2098.31
35.064692,-106.347531,2094.32
35.064618,-106.347657,2090.02
35.064589,-106.349256,2085.92
35.063846,-106.349822,2082.99
35.063721,-106.350594,2081.61
35.063832,-106.350945,2080.69
35.06392,-106.351016,2078.86
35.063707,-106.351618,2076.1
35.063655,-106.352391,2073.23
35.063942,-106.353029,2070.51
35.063876,-106.353388,2067.69
35.063383,-106.35399,2064.82
35.063538,-106.35461,2061.97
35.063846,-106.355221,2059.03
35.064045,-106.355966,2056.32
35.064111,-106.356712,2054.29
35.063979,-106.356793,2052.72
35.063854,-106.356766,2051.2
35.064023,-106.35699,2049.68
35.064015,-106.35743,2047.9
35.064074,-106.357646,2045.68
35.065118,-106.359254,2043.17
35.065376,-106.359515,2040.32
35.065464,-106.35973,2037.16
35.065435,-106.361212,2034.19
35.065354,-106.361509,2031.7
35.064971,-106.362066,2029.44
35.064626,-106.362344,2027.27
35.063876,-106.363853,2025.38
35.06342,-106.364473,2023.71
35.062935,-106.364824,2021.99
35.062854,-106.365075,2020.32
35.062846,-106.366117,2018.79
35.063118,-106.366512,2016.9
35.062964,-106.366728,2014.21
35.062214,-106.367348,2011.06
35.060913,-106.367519,2008.07
35.060501,-106.36786,2005.42
35.060155,-106.368363,2002.89
35.059287,-106.368956,2000.47
35.058427,-106.369917,1998.69
35.057854,-106.370411,1997.81
35.057302,-106.370312,1997.19
35.057273,-106.370456,1995.85
35.05742,-106.370896,1993.82
35.057339,-106.371543,1991.94
35.057001,-106.372028,1990.45
35.056743,-106.372001,1989.24
35.056574,-106.37228,1988.2
35.056714,-106.372513,1987.37
35.05667,-106.372693,1986.96
35.056861,-106.37307,1986.3
35.056934,-106.373591,1984.51
35.057626,-106.373897,1981.96
35.057787,-106.374103,1979.64
35.057699,-106.374696,1977.89
35.057912,-106.3751,1976.4
35.058545,-106.375307,1974.24
35.059052,-106.37572,1971.16
35.059721,-106.376852,1968.42
35.059699,-106.37722,1966.3
35.05989,-106.377607,1964.4
35.060023,-106.377723,1963.37
35.060023,-106.377993,1963.79
35.060288,-106.378191,1965.58
35.060501,-106.378101,1968.45
35.060883,-106.377508,1971.42
35.061163,-106.377678,1973.03
35.061074,-106.378182,1972.31
35.061486,-106.378658,1969.48
35.062457,-106.378954,1966.12
35.062641,-106.379286,1963.03
35.062648,-106.379538,1959.84
35.06281,-106.379942,1956.94
35.062758,-106.380409,1955.26
35.062655,-106.380257,1954.65
